Login, Zaloguj się
Logout, Wyloguj się
Email, E-mail
Password, Hasło
Forgot your password?, Zapomniałeś hasła?
Create an account, Załóż konto
Register, Zarejestruj się
Full Name, Pełna nazwa
Full name, Pełna nazwa
SIGN IN, Zaloguj się
Order History, Historia zamówień
Account Details, Szczegóły konta
You have not placed any orders yet, Nie złożyłeś jeszcze żadnych zamówień
My Account, Moje konto
Already have an account?, Masz już konto?
Contact information, Informacje kontaktowe
City, Miasto
Account Information, Informacje o koncie
Address, Adres
Postcode, Kod pocztowy
Postcode is required, Kod pocztowy jest wymagany
Telephone is required, Telefon jest wymagany
Telephone, Telefon
Full name is required, Pełna nazwa jest wymagana
Country is required, Kraj jest wymagany
Country, Kraj
Province is required, Województwo jest wymagane
Province, Województwo
Billing Address, Adres rozliczeniowy
Shipping Address, Adres wysyłki
Create A New Account, Załóż nowe konto
Contact, Kontakt
Customer information, Informacje o kliencie
